Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
360	-570.1427	-601.0429	30.90018	0.200374	0.00115649	0.0820181	0.0612461	0.0345683	0.0219432	0.0272947	0.165588	0.199834	0.0850447	0.0716472	0.000299212	0.0494096	0.0175971	0.0360802	0.012603	0.00152256	0.040279	0.469671	0.0322698	0.12031	0.0500157	0.0284438	0.0814369	0.00190895	0.071821	0.0749454	0.0205597	0.0159694	0.69158	1.22678	0.209065	0.466122	0.788094	1.26888	2.14536	4.7832	1.131683	0.4145118	0.0965257	0.000557116	0.0395105	0.029504	0.0166526	0.0105707	0.0131486	0.0797684	0.0962657	0.0409685	0.0345145	0.000144139	0.023802	0.00847703	0.0173809	0.00607122	0.00073346	0.0194036	0.226254	0.0155453	0.0579567	0.024094	0.0137022	0.0392305	0.000919597	0.0345983	0.0361034	0.00990421	0.00769293	2.075856
396	-562.3604	-590.0579	27.69743	0.761429	0.0763187	0.201405	0.0344297	0.144589	0.229539	0.201121	0.208442	0.474831	0.110325	0.104161	0.000694393	0.0078112	0.0942292	0.0884753	0.00786729	0.0635655	0.106941	0.669117	0.128028	0.0872782	0.232989	0.0811865	0.0920933	0.0234248	0.209036	0.0167154	0.0549219	0.0183899	0.575256	1.31231	0.578375	0.765648	0.920066	1.08688	1.30608	1.72898	0.3959042	0.3223183	0.16811	0.0168498	0.0444666	0.00760147	0.0319226	0.0506782	0.0444039	0.0460202	0.104834	0.0243577	0.022997	0.000153309	0.00172457	0.0208041	0.0195338	0.00173696	0.0140341	0.0236106	0.147729	0.0282663	0.0192695	0.0514399	0.0179245	0.0203325	0.00517178	0.0461514	0.00369046	0.0121258	0.00406017	4.529355
432	-571.7947	-599.8591	28.06439	0.637915	0.044867	0.121877	0.147317	0.155401	0.166568	0.312467	0.281515	0.16226	0.223751	0.0773993	0.0268706	0.00544808	0.068257	0.0772948	0.0709324	0.249212	0.212845	0.768442	0.0709679	0.0129081	0.207938	0.104384	0.104811	0.00873987	0.0358389	0.0159439	0.0202091	0.0148824	0.383545	1.45328	0.449989	0.677432	0.885591	1.12919	1.47616	2.22228	0.577394	0.1940572	0.144742	0.0101802	0.0276538	0.033426	0.0352602	0.0377939	0.0708982	0.0638753	0.0368166	0.0507687	0.0175618	0.00609688	0.00123616	0.0154874	0.017538	0.0160944	0.0565458	0.0482942	0.174358	0.0161025	0.00292883	0.0471808	0.0236844	0.0237815	0.00198306	0.00813177	0.00361764	0.00458541	0.00337678	4.407264
468	-574.8369	-602.7504	27.91354	0.878037	0.078076	0.276752	0.0799932	0.064366	0.140639	0.243203	0.37181	0.192191	0.0517533	0.049173	0.0598984	0.00568075	0.0250458	0.0914106	0.0181691	0.0492198	0.218315	0.562336	0.107611	0.0750992	0.179998	0.124293	0.103191	0.0583013	0.00701187	0.0136786	0.0346318	0.0468591	0.748289	1.18508	0.520009	0.726939	0.905294	1.10461	1.37563	1.92304	0.4728211	0.4642826	0.208721	0.0185597	0.0657876	0.0190155	0.0153007	0.0334319	0.0578126	0.0883843	0.0456864	0.0123024	0.0116891	0.0142386	0.00135039	0.00595372	0.0217295	0.00431904	0.0117002	0.0518964	0.133675	0.0255807	0.0178521	0.042788	0.0295462	0.02453	0.013859	0.00166682	0.00325158	0.00823244	0.011139	4.206745
504	-565.0271	-594.2647	29.23766	0.429684	0.0416228	0.190668	0.108734	0.172631	0.113456	0.26216	0.355965	0.233766	0.313209	0.111037	0.0183139	0.0401136	0.00272545	0.0392739	0.0317617	0.0880769	0.125998	0.300783	0.197933	0.0486356	0.0698889	0.0376296	0.0436131	0.0809978	0.0330865	0.0467493	0.0268755	0.0210246	0.46398	1.39413	0.38184	0.625291	0.863737	1.15776	1.59925	2.6189	0.6961378	0.2447126	0.119809	0.0116057	0.0531639	0.0303183	0.0481349	0.0316348	0.0730982	0.0992537	0.065181	0.0873321	0.0309605	0.00510647	0.0111849	0.000759937	0.0109507	0.00885611	0.0245585	0.0351319	0.0838674	0.0551897	0.0135611	0.0194871	0.0104923	0.0121607	0.0225846	0.0092255	0.0130351	0.0074937	0.00586231	3.586413
540	-559.2304	-588.1843	28.95383	0.528564	0.0266577	0.255841	0.121322	0.126167	0.14828	0.142632	0.491156	0.223581	0.0880206	0.123037	0.00115134	0.0208296	0.00650536	0.0497243	0.0467685	0.0300124	0.023606	0.400984	0.355045	0.0418105	0.161496	0.0958285	0.0710874	0.137419	0.0466073	0.137235	0.0433775	0.025045	0.382227	1.45424	0.528739	0.732865	0.907591	1.10182	1.36451	1.89129	0.4607836	0.1932616	0.133146	0.00671514	0.0644469	0.0305613	0.0317819	0.0373521	0.0359293	0.123723	0.0563206	0.0221726	0.0309934	0.000290025	0.00524702	0.00163872	0.0125257	0.0117811	0.00756019	0.00594642	0.101009	0.0894368	0.0105322	0.0406812	0.0241394	0.0179071	0.0346163	0.0117405	0.0345699	0.0109269	0.00630888	3.969791
576	-562.3435	-590.8916	28.54809	0.209155	0.148181	0.0988031	0.156595	0.0994954	0.108431	0.467616	0.302409	0.225838	0.224238	0.119751	0.0236892	0.0493937	0.0586405	0.0813041	0.015061	0.114946	0.0250588	0.504984	0.393564	0.198797	0.0811129	0.049738	0.19154	0.131362	0.0470929	0.0821436	0.0255691	0.0293646	0.534135	1.34255	0.89016	0.944834	0.982452	1.01786	1.05839	1.12339	0.08413202	0.2925383	0.0490528	0.0347526	0.0231721	0.036726	0.0233345	0.0254301	0.109669	0.0709236	0.0529654	0.0525902	0.0280851	0.00555579	0.0115842	0.0137529	0.0190681	0.00353224	0.0269581	0.00587701	0.118433	0.092302	0.0466235	0.0190233	0.011665	0.0449217	0.0308082	0.0110446	0.019265	0.00599668	0.00688684	4.263874
612	-563.6966	-590.4078	26.71122	0.419934	0.0558468	0.194041	0.0896703	0.208089	0.0758606	0.189235	0.348876	0.459992	0.417388	0.158552	0.0641993	0.0447594	0.0585563	0.0313082	0.0709168	0.289136	0.0184324	0.282027	1.04044	0.0235845	0.0473032	0.0538052	0.0527065	0.191467	0.0900189	0.081024	0.0153117	0.035059	0.526816	1.34793	0.554406	0.750005	0.91416	1.0939	1.33332	1.80373	0.4265084	0.2873777	0.0822185	0.0109342	0.037991	0.0175565	0.0407415	0.0148527	0.0370501	0.0683061	0.0900614	0.0817201	0.0310428	0.0125695	0.00876341	0.0114647	0.00612981	0.0138847	0.0566097	0.00360886	0.0552178	0.203706	0.00461759	0.00926144	0.0105345	0.0103194	0.0374872	0.0176247	0.0158636	0.00299787	0.00686418	5.107536
648	-569.2752	-596.4802	27.20496	0.752004	0.228111	0.0372552	0.0563939	0.100567	0.272943	0.421415	0.216337	0.23205	0.0709163	0.0860658	0.0474786	0.0206397	0.0227396	0.0547068	0.0105204	0.237751	0.0476051	0.200918	0.898692	0.0696712	0.0223434	0.0528218	0.121739	0.201021	0.077241	0.0951357	0.101068	0.0337229	0.464392	1.39383	0.429822	0.662451	0.879434	1.13709	1.50954	2.32654	0.6105475	0.2449829	0.156999	0.0476236	0.00777791	0.0117736	0.0209957	0.0569834	0.0879804	0.0451654	0.0484459	0.0148055	0.0179683	0.00991229	0.00430902	0.00474742	0.0114214	0.00219639	0.0496361	0.0099387	0.0419465	0.187623	0.0145455	0.00466471	0.0110278	0.0254159	0.041968	0.0161259	0.0198618	0.0211004	0.00704045	4.789872
684	-578.8872	-604.397	25.5098	1.53342	0.0711799	0.0247013	0.0453703	0.159358	0.128612	0.314824	0.0836448	0.373718	0.107985	0.131106	0.0747256	0.0790919	0.0839036	0.183961	0.0661046	0.118537	0.0731899	0.0976913	0.993863	0.0417896	0.334614	0.166532	0.0945481	0.246258	0.0469387	0.120354	0.110262	0.12582	0.358959	1.47135	0.715803	0.849537	0.9504	1.05219	1.17711	1.39703	0.2417581	0.1793858	0.25421	0.0118002	0.00409497	0.00752146	0.0264183	0.0213212	0.0521914	0.0138666	0.0619548	0.0179017	0.0217347	0.012388	0.0131118	0.0139095	0.030497	0.0109588	0.019651	0.0121334	0.0161952	0.164762	0.00692787	0.0554722	0.0276076	0.0156741	0.0408246	0.00778148	0.0199522	0.0182792	0.0208583	6.032107
