Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	partition_rate[1]	partition_rate[2]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rate_neo	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	tree_length
0	-567.2683	-593.3742	26.10589	0.803394	0.013006	0.287325	0.0935104	0.0524918	0.0823918	0.257766	0.118492	0.364868	0.069753	0.266359	0.00862019	0.026972	0.20689	0.120961	0.000135156	0.132286	0.282115	0.231543	0.215326	0.127458	0.00626264	0.0757633	0.374303	0.0489634	0.0791552	0.135067	0.876012	0.118423	0.562763	1.3215	0.655588	0.813899	0.937777	1.06635	1.22865	1.52535	0.3052966	0.3131267	0.146722	0.00237526	0.0524736	0.0170776	0.00958647	0.015047	0.0470753	0.02164	0.0666351	0.0127388	0.0486446	0.00157429	0.00492585	0.0377839	0.0220909	2.46833e-05	0.0241591	0.0515221	0.0422863	0.0393246	0.0232774	0.00114373	0.0138365	0.0683582	0.00894209	0.0144559	0.0246669	0.159984	0.0216273	5.475613
36	-570.5266	-598.5473	28.02077	1.12196	0.0326314	0.0541058	0.010265	0.0937108	0.251376	0.0454132	0.0875368	0.302793	0.104553	0.0518066	0.00474978	0.0362332	0.0375133	0.0235594	0.00630034	0.0996856	0.0662978	0.714567	0.0204135	0.0456418	0.0621422	0.158838	0.05227	0.17074	0.0685047	0.00594791	0.242488	0.0742107	0.505087	1.36391	0.236234	0.494741	0.802881	1.24551	2.02126	4.23309	1.043339	0.2722967	0.277283	0.00806459	0.0133718	0.00253692	0.0231599	0.0621256	0.0112235	0.021634	0.074833	0.0258394	0.0128036	0.00117387	0.00895476	0.00927113	0.00582251	0.00155708	0.0246365	0.016385	0.1766	0.00504505	0.01128	0.015358	0.0392557	0.0129181	0.042197	0.0169304	0.00146998	0.0599291	0.0183406	4.046254
72	-567.9276	-599.4092	31.48168	0.0884204	0.0593679	0.0536013	0.00541712	0.079706	0.059796	0.0846873	0.104203	0.268212	0.123372	0.0794528	0.00559654	0.0191466	0.00616711	0.015226	0.00656329	0.0526612	0.121388	0.0702884	0.0330664	0.071728	0.023191	0.0369299	0.102812	0.0431506	0.021119	0.114269	0.150582	0.0268997	0.220068	1.57348	0.106762	0.335858	0.711491	1.4055	2.97745	9.36666	1.617618	0.102839	0.0458845	0.0308082	0.0278157	0.00281114	0.0413623	0.0310303	0.0439473	0.0540747	0.139185	0.0640221	0.0412309	0.00290425	0.00993586	0.00320033	0.00790134	0.00340593	0.0273278	0.0629926	0.0364752	0.0171594	0.0372223	0.0120347	0.0191642	0.0533529	0.0223924	0.0109594	0.059298	0.0781423	0.0139592	1.92702
108	-564.7863	-590.3865	25.60021	0.627295	0.0223227	0.256008	0.129443	0.0900666	0.324802	0.479929	0.43469	0.513847	0.114637	0.188326	0.0907508	0.0129364	0.201889	0.0313727	0.0472455	0.0383864	0.0591837	0.559227	0.0336795	0.0419758	0.0914829	0.130974	0.101166	0.0280336	0.360442	0.616869	0.0483715	0.118269	0.517825	1.35454	0.654454	0.813212	0.93753	1.06663	1.22969	1.52799	0.3065483	0.2810945	0.108273	0.00385298	0.044188	0.0223423	0.0155458	0.056062	0.0828375	0.075029	0.0886919	0.0197868	0.0325058	0.0156639	0.00223287	0.0348467	0.00541504	0.00815475	0.00662563	0.0102153	0.0965245	0.0058132	0.00724518	0.0157903	0.0226066	0.0174616	0.00483871	0.0622137	0.106474	0.00834909	0.0204137	5.793621
144	-565.6979	-593.6442	27.94632	0.681653	0.135264	0.132283	0.00389804	0.0481743	0.375351	0.182121	0.261205	0.225886	0.0542667	0.0699777	0.0193142	0.0186244	0.0419772	0.0454603	0.00691818	0.0276582	0.0672713	0.273843	0.0179847	0.0238474	0.0624449	0.114829	0.263703	0.0295383	0.25222	0.722949	0.048215	0.00651216	0.466268	1.39245	0.291774	0.548405	0.829095	1.20613	1.82347	3.42731	0.8906593	0.2462163	0.161783	0.0321033	0.0313959	0.000925155	0.0114336	0.0890854	0.0432244	0.0619941	0.0536115	0.0128796	0.0166084	0.00458401	0.00442028	0.00996281	0.0107895	0.00164195	0.00656437	0.0159661	0.0649935	0.00426845	0.00565991	0.0148206	0.0272532	0.0625868	0.00701057	0.0598616	0.171584	0.0114433	0.00154559	4.213391
180	-570.1795	-595.5912	25.41169	0.658358	0.160627	0.337543	0.0113394	0.216989	0.170292	0.461381	0.45336	0.640322	0.152892	0.148966	0.0650394	0.0522903	0.0582218	0.0633899	0.00869254	0.0701106	0.176059	0.112112	0.0247255	0.0108454	0.00782735	0.0795594	0.263422	0.0908317	0.159275	0.748478	0.48923	0.0340096	0.322483	1.49817	0.434059	0.665628	0.880748	1.1354	1.50234	2.30384	0.6034555	0.1582727	0.111093	0.0271046	0.0569578	0.00191344	0.0366152	0.0287356	0.0778546	0.0765011	0.10805	0.0257993	0.0251369	0.0109749	0.00882359	0.0098245	0.0106966	0.0014668	0.0118306	0.0297087	0.018918	0.00417225	0.00183009	0.00132081	0.0134251	0.0444505	0.0153272	0.0268765	0.1263	0.0825539	0.00573886	5.926188
216	-565.7003	-594.4952	28.7949	0.460792	0.10994	0.0598927	0.00157124	0.110094	0.0305864	0.0315073	0.260366	0.313344	0.0493213	0.0685609	0.0329833	0.0664285	0.0492285	0.069407	0.0252954	0.177647	0.151677	0.130452	0.0108818	0.00457423	0.0630459	0.168915	0.0438908	0.0133896	0.261623	0.689735	0.10093	0.0438888	0.696214	1.22337	0.363414	0.610389	0.857262	1.16651	1.6383	2.75168	0.7318986	0.418452	0.127999	0.0305391	0.016637	0.000436459	0.0305821	0.0084963	0.00875209	0.0723244	0.0870409	0.0137005	0.0190448	0.00916212	0.0184525	0.0136747	0.0192799	0.00702657	0.0493467	0.0421329	0.036237	0.00302274	0.00127063	0.0175129	0.0469212	0.012192	0.00371937	0.0726736	0.191595	0.0280363	0.0121914	3.599969
252	-572.9489	-601.5906	28.64172	0.940114	0.00537075	0.139707	0.0330682	0.0487338	0.165462	0.125702	0.375888	0.101092	0.0879548	0.178178	0.0507462	0.0344176	0.0246673	0.117885	0.0122419	0.265559	0.00786759	0.526458	0.0516629	0.044384	0.0697742	0.0216472	0.121967	0.0538653	0.103512	0.0432432	0.0799953	0.00735342	0.334476	1.48936	0.221047	0.478964	0.794805	1.25817	2.08784	4.52393	1.091386	0.1651307	0.244916	0.00139917	0.036396	0.00861485	0.012696	0.0431058	0.0327476	0.0979253	0.0263363	0.0229137	0.0464185	0.0132202	0.00896637	0.00642626	0.030711	0.00318922	0.0691827	0.00204964	0.137151	0.0134591	0.0115628	0.0181774	0.00563947	0.0317746	0.0140328	0.0269667	0.0112656	0.0208402	0.00191569	3.838517
288	-564.8793	-594.0743	29.19505	0.567888	0.0121029	0.253773	0.0513159	0.114338	0.136818	0.0876595	0.205583	0.302308	0.156499	0.21117	0.0268611	0.0458797	0.0402236	0.0634822	1.871e-05	0.534305	0.15128	0.157429	0.0308098	0.0810266	0.0320079	0.0231156	0.0593254	0.00424761	0.0475627	0.113488	0.0539319	0.0561574	0.505422	1.36366	0.430963	0.663309	0.879789	1.13664	1.50759	2.32038	0.6086304	0.2725265	0.156849	0.00334278	0.0700912	0.0141733	0.0315798	0.0377888	0.0242113	0.0567812	0.0834966	0.0432245	0.0583245	0.00741894	0.0126718	0.0111096	0.0175336	5.16765e-06	0.147573	0.0417831	0.0434814	0.00850956	0.0223793	0.00884047	0.00638444	0.0163855	0.00117318	0.0131367	0.0313449	0.0148958	0.0155105	3.620608
324	-570.3135	-596.4083	26.0948	0.780766	0.0282649	0.305011	0.0661579	0.0306921	0.337133	0.312462	0.222074	0.204816	0.170356	0.205876	0.067771	0.0138112	0.0460214	0.138146	0.000749567	0.501288	0.283044	0.425	0.0978864	0.12589	0.0515018	0.0861691	0.335289	0.00374092	0.165695	0.19205	0.288287	0.0189608	0.600711	1.2936	0.757598	0.873378	0.958641	1.04314	1.14498	1.31996	0.2007254	0.3414507	0.141831	0.00513448	0.0554071	0.012018	0.0055754	0.0612423	0.0567606	0.040341	0.0372061	0.0309462	0.0373986	0.012311	0.00250888	0.00836005	0.025095	0.000136163	0.0910619	0.0514166	0.0772038	0.0177817	0.0228687	0.00935561	0.0156531	0.0609073	0.000679561	0.0300995	0.0348871	0.052369	0.00344433	5.504911
